Split_width(g),dis_b/w_rings(d),Freq [GHz],s11,vswr
1,0.7,10.965625,-3.788529964,13.36366727
1,0.7,11,-3.764650343,13.41689585
1,0.7,11.034375,-3.744741976,13.46154713
1,0.7,11.06875,-3.729449141,13.49601794
1,0.7,11.103125,-3.719185211,13.51923754
1,0.7,11.1375,-3.714170786,13.53060615
1,0.7,11.171875,-3.714478255,13.5299086
1,0.7,11.20625,-3.720085758,13.51719756
1,0.7,11.240625,-3.730944188,13.49264142
1,0.7,11.275,-3.747058748,13.45633805
1,0.7,11.309375,-3.768580959,13.40810974
1,0.7,11.34375,-3.795898913,13.34731355
1,0.7,11.378125,-3.8297063,13.27271582
1,0.7,11.4125,-3.871029592,13.18247984
1,0.7,11.446875,-3.921201733,13.07429057
1,0.7,11.48125,-3.981788201,12.94559642
1,0.7,11.515625,-4.054489057,12.7939053
1,0.7,11.55,-4.141048769,12.61705445
1,0.7,11.584375,-4.243199993,12.41339032
1,0.7,11.61875,-4.362652632,12.18183502
1,0.7,11.653125,-4.501124363,11.92185491
